,REG_NO,Brand,Model_new,CC,Age,Sale_Price,Prediction,Accuracy
0,DL8SBZ5056,TVS,JUPITER,110.0,6,50000.0,48897.0,97.794
3,AP31EA6090,BAJAJ,PULSAR 220,220.0,5,88220.0,88930.0,99.19519383359783
5,MH06BZ6556,TVS,JUPITER ZX,110.0,4,40000.0,42586.0,93.535
9,AP39DE1150,BAJAJ,PULSAR 220,220.0,3,123602.0,103302.0,83.57631753531496
12,MH05CD1799,HONDA,ACTIVA,110.0,7,30840.0,35993.0,83.29118028534371
13,TN05BX8465,HONDA,DIO,110.0,3,61000.0,60959.0,99.9327868852459
14,MH06CB8325,HONDA,CB UNICORN 160,150.0,3,68914.0,76167.0,89.475288040166
17,DL8SCP2109,TVS,APACHE RTR160,160.0,4,96000.0,77741.0,80.98020833333334
19,MH46BW7068,TVS,JUPITER,110.0,3,55244.0,54479.0,98.61523423358193
20,TN42AE0851,TVS,JUPITER,110.0,3,63000.0,54479.0,86.47460317460317
21,DL8SCA4129,TVS,JUPITER,110.0,4,43832.0,47545.0,91.52901989414126
22,TN54U0580,HONDA,CB UNICORN 160,150.0,2,35000.0,81824.0,33.78285714285714
23,DL4SDG5037,TVS,APACHE RTR160,160.0,7,70000.0,53731.0,76.75857142857143
26,DL11SR9702,TVS,JUPITER,110.0,5,59000.0,50109.0,84.93050847457627
27,MH46AQ2877,BAJAJ,PULSAR 220,220.0,7,50900.0,79267.0,44.26915520628684
28,MH05EG7818,SUZUKI,ACCESS 125,124.0,2,53000.0,58854.0,88.95471698113208
36,UP32GC1992,HONDA,ACTIVA,110.0,6,34680.0,34386.0,99.15224913494811
38,MH05CE5285,HONDA,ACTIVA,110.0,7,32660.0,35993.0,89.79485609308023
40,TN21BK2604,HONDA,DIO,110.0,3,55400.0,60959.0,89.96570397111914
44,DL8SBC5826,TVS,WEGO,110.0,7,53000.0,30245.0,57.066037735849065
48,RJ07ES5775,HERO,HF DELUXE,97.0,3,48353.0,48823.0,99.0279817177838
49,DL4SDH6392,TVS,JUPITER,110.0,6,47000.0,48897.0,95.96382978723405
52,TS08GV2691,HONDA,DIO,110.0,3,63850.0,60959.0,95.4722004698512
58,MH05EW1347,HERO,PASSION PRO,110.0,2,57444.0,59301.0,96.76728640066847
59,DL11SR3984,TVS,JUPITER,110.0,5,56000.0,50109.0,89.48035714285714
60,UP32GC8138,HONDA,ACTIVA 125,125.0,6,46200.0,45910.0,99.37229437229436
67,DL13SU7105,HERO,SPLENDOR PLUS,97.0,5,50002.0,40132.0,80.26078956841727
69,AP39MS4451,HONDA,CB UNICORN 160,150.0,0,120102.0,112092.0,93.3306689314083
71,MH05EE2418,SUZUKI,ACCESS 125,124.0,3,60800.0,63427.0,95.67927631578948
73,DL11SU9513,HERO,PASSION PRO,110.0,4,49500.0,53200.0,92.52525252525253
74,MH02FK6905,SUZUKI,ACCESS 125,124.0,2,64500.0,58854.0,91.24651162790698
77,DL4SCJ8394,HONDA,SHINE,125.0,7,46000.0,31921.0,69.39347826086957
79,AP39AD1330,TVS,SCOOTY PEPPLUS,88.0,3,54000.0,54810.0,98.5
84,DL3SCX5005,HERO,SPLENDOR PLUS,97.0,6,48000.0,39361.0,82.00208333333333
86,RJ44SD8884,TVS,JUPITER,110.0,4,44548.0,47545.0,93.27242524916943
96,UP32JQ4035,TVS,JUPITER,110.0,3,47440.0,54479.0,85.16231028667791
97,DL11SS2145,TVS,JUPITER ZX,110.0,5,57800.0,50780.0,87.85467128027682
98,TN23CB3285,HERO,HF DELUXE,97.0,7,52000.0,26981.0,51.88653846153846
101,RJ07KS0031,HERO,HF DELUXE,97.0,2,47963.0,47472.0,98.97629422679982
