,REG_NO,Brand,Model,CC,Manufactured_Date,DEALER_ID,DEALERSHIP_NAME,Purchase_date,Color,Purchase_Price,Source,Refurbish_Date,Variant,PART_DESCRIPTION,Part_Cost,Labour_Description,Labour_Amount,Refurbished_price,Sale_Date,Year,Sale_Price,Financier,Model_new,Varient,Age
1,RJ07FS9807,HERO,HF DELUXEE I3S-SELF-DRUM-CAST,97.0,2019,100000013.0,SHANTI TRUMOTO,2021-02-04,NAN,39437.0,WALK IN,2021-08-12,,BULB (CAPLESS - SPEEDOMETER),20.74,,0.0,18.0,2021,2021.0,46787.56,HEROFIN,HF DELUXE,I3S SELF DRUM CAST,2
4,TN23CS8221,TVS,JUPITER,110.0,2020,100000022.0,BALAMURUGAN AUTOMOBILES,2022-05-21,SP SILVER,51858.0,WALK IN,2022-05-21,110CC BS6,,,,0.0,,2022,2022.0,58258.0,NAN,JUPITER,,2
8,MH06CC7024,TVS,JUPITER ZX,110.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-28,STARLIGHT BLUE,55000.0,WALK IN,,,,,,,,2022,2022.0,58336.0,NAN,JUPITER ZX,,2
10,DL9SBE7078,TVS,JUPITER,110.0,2016,100000021.0,BAJWA AUTOMOBILES,2022-03-31,BLACK,23000.0,TELEPHONE,2022-03-31,110cc,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,WATER  WASH - SCOOTY,50.0,380.0,2022,2022.0,39002.0,NAN,JUPITER,,6
11,AP31ER4613,BAJAJ,PULSAR 150 DTSI,150.0,2018,100000026.0,WHEELSMART,2022-11-05,NAN,60000.0,OUTDOOR ACTIVITY,,,,,,,,2023,2023.0,80000.0,NAN,PULSAR 150,DTSI,5
12,DL11M2866,TVS,JUPITER ZX INTELLIGO,110.0,2022,100000028.0,ANVAY AUTOMOBILES,2022-08-31,COPPER BRONZE,70000.0,WALK IN,2022-08-31,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,,0.0,390.0,2022,2022.0,90000.0,NAN,JUPITER ZX,INTELLIGO,0
16,AP39GC1031,YAMAHA,FASCINO,113.0,2020,100000027.0,WHEELSMART,2022-07-28,NAN,63050.0,WALK IN,2022-08-01,,NUMBER PLATE,100.0,WATER  WASH - SCOOTY,100.0,200.0,2022,2022.0,69000.0,HDFC,FASCINO,,2
21,AP26CD8290,ROYAL ENFIELD,CLASSIC 350,350.0,2018,100000027.0,WHEELSMART,2022-10-24,NAN,124700.0,TELEPHONE,2022-11-25,,,,,0.0,,2022,2022.0,140000.0,OTHERS,CLASSIC 350,,4
23,MH05DU9542,TVS,SCOOTY PEPPLUS BSIV,88.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-12-29,STALLION BROWN,30000.0,WALK IN,2021-12-31,,,,,0.0,,2022,2022.0,29500.0,NAN,SCOOTY PEPPLUS,BSIV,4
25,MH02FC8411,HONDA,DIO,110.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-01-13,NAN,42000.0,WALK IN,2022-06-30,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,ENGINE O/H(CRANKSHAFT/DRIVESHAFT/CAM SHIFTER) - SCOOTER,1000.0,1390.0,2022,2022.0,56000.0,NAN,DIO,,4
