,Brand,Model_new,CC
1,HERO,HF DELUXE,97.0
4,TVS,JUPITER,110.0
8,TVS,JUPITER ZX,110.0
10,TVS,JUPITER,110.0
11,BAJAJ,PULSAR 150,150.0
12,TVS,JUPITER ZX,110.0
16,YAMAHA,FASCINO,113.0
17,BAJAJ,PULSAR 150,150.0
21,ROYAL ENFIELD,CLASSIC 350,350.0
23,TVS,SCOOTY PEPPLUS,88.0
25,HONDA,DIO,110.0
26,BAJAJ,PULSAR 220,220.0
35,YAMAHA,FZS,149.0
41,TVS,JUPITER ZX,110.0
43,TVS,JUPITER ZX,110.0
47,SUZUKI,ACCESS 125,124.0
50,HERO,HF DELUXE,97.0
53,TVS,APACHE RTR160,160.0
58,TVS,XL SUPER,70.0
59,YAMAHA,FASCINO,113.0
64,TVS,APACHE RTR160,160.0
65,YAMAHA,FASCINO,113.0
66,SUZUKI,ACCESS 125,124.0
67,TVS,JUPITER,110.0
69,YAMAHA,FZS,149.0
71,TVS,JUPITER,110.0
77,HERO,SPLENDOR PLUS,97.0
80,HONDA,DIO,110.0
81,ROYAL ENFIELD,CLASSIC 350,350.0
85,BAJAJ,PULSAR 150,150.0
88,BAJAJ,CT 100,102.0
89,TVS,JUPITER,110.0
91,ROYAL ENFIELD,CLASSIC 350,350.0
92,TVS,JUPITER,110.0
93,BAJAJ,CT 100,102.0
96,HERO,SPLENDOR PLUS,97.0
100,TVS,SCOOTY PEPPLUS,88.0
102,HERO,SPLENDOR PLUS,97.0
104,TVS,JUPITER ZX,110.0
111,YAMAHA,FASCINO,113.0
112,BAJAJ,CT 100,102.0
113,TVS,APACHE RTR160,160.0
115,TVS,SCOOTY PEPPLUS,88.0
122,HERO,SPLENDOR PLUS,97.0
123,YAMAHA,FASCINO,113.0
128,BAJAJ,CT 100,102.0
129,TVS,APACHE RTR160,160.0
134,HERO,HF DELUXE,97.0
136,TVS,JUPITER,110.0
139,BAJAJ,PULSAR 220,220.0
141,TVS,JUPITER,110.0
142,HONDA,SHINE,125.0
144,TVS,SCOOTY PEPPLUS,88.0
146,HONDA,SHINE,125.0
151,HONDA,SHINE,125.0
152,HONDA,DIO,110.0
156,BAJAJ,PULSAR 220,220.0
157,HERO,SPLENDOR PLUS,97.0
160,TVS,JUPITER,110.0
163,SUZUKI,ACCESS 125,124.0
164,BAJAJ,PULSAR 220,220.0
165,TVS,SCOOTY PEPPLUS,88.0
166,HERO,SPLENDOR PLUS,97.0
168,HERO,HF DELUXE,97.0
170,HERO,PASSION PRO,110.0
175,TVS,JUPITER ZX,110.0
176,BAJAJ,PULSAR 150,150.0
177,TVS,SCOOTY PEPPLUS,88.0
179,HONDA,DIO,110.0
182,YAMAHA,FASCINO,113.0
183,YAMAHA,FASCINO,113.0
184,HONDA,CB UNICORN 160,150.0
185,TVS,JUPITER,110.0
195,HERO,PASSION PRO,110.0
198,SUZUKI,ACCESS 125,124.0
204,BAJAJ,PULSAR 150,150.0
206,HERO,PASSION PRO,110.0
215,HERO,SPLENDOR PLUS,97.0
216,HONDA,DIO,110.0
220,TVS,JUPITER ZX,110.0
223,BAJAJ,PULSAR 150,150.0
226,TVS,WEGO,110.0
228,TVS,JUPITER ZX,110.0
229,HONDA,AVIATOR,110.0
232,HONDA,DIO,110.0
233,ROYAL ENFIELD,CLASSIC 350,350.0
235,TVS,JUPITER,110.0
237,TVS,JUPITER,110.0
241,SUZUKI,ACCESS 125,124.0
244,YAMAHA,FASCINO,113.0
245,TVS,APACHE RTR160,160.0
247,YAMAHA,FZS,149.0
248,SUZUKI,ACCESS 125,124.0
255,HONDA,CB UNICORN 160,150.0
256,HONDA,DIO,110.0
257,YAMAHA,FZS,149.0
258,TVS,APACHE RTR160,160.0
259,HONDA,DIO,110.0
260,TVS,JUPITER,110.0
261,TVS,JUPITER ZX,110.0
263,HERO,PASSION PRO,110.0
264,SUZUKI,ACCESS 125,124.0
266,YAMAHA,FASCINO,113.0
269,HERO,SPLENDOR PLUS,97.0
271,ROYAL ENFIELD,CLASSIC 350,350.0
275,TVS,JUPITER,110.0
277,ROYAL ENFIELD,CLASSIC 350,350.0
279,TVS,APACHE RTR160,160.0
283,HONDA,SHINE,125.0
288,HERO,HF DELUXE,97.0
291,TVS,JUPITER,110.0
292,ROYAL ENFIELD,CLASSIC 350,350.0
293,TVS,SPORT,110.0
296,HERO,PASSION PRO,110.0
297,SUZUKI,ACCESS 125,124.0
298,TVS,SPORT,110.0
299,TVS,SCOOTY PEPPLUS,88.0
301,TVS,SCOOTY PEP PLUS,88.0
305,HONDA,DIO,110.0
308,BAJAJ,PULSAR 150,150.0
309,TVS,JUPITER,110.0
310,SUZUKI,ACCESS 125,124.0
312,HONDA,SHINE,125.0
313,TVS,JUPITER,110.0
314,TVS,JUPITER ZX,110.0
318,HERO,PASSION PRO,110.0
319,YAMAHA,FZS,149.0
320,HONDA,CB UNICORN 160,150.0
324,TVS,JUPITER,110.0
326,YAMAHA,FZS,149.0
327,TVS,JUPITER,110.0
329,BAJAJ,CT 100,102.0
330,TVS,SPORT,110.0
335,HONDA,CB UNICORN 160,150.0
337,YAMAHA,FASCINO,113.0
343,BAJAJ,PULSAR 150,150.0
345,ROYAL ENFIELD,CLASSIC 350,350.0
348,TVS,JUPITER,110.0
349,HERO,HF DELUXE,97.0
354,TVS,JUPITER,110.0
357,HONDA,SHINE,125.0
362,TVS,JUPITER,110.0
365,TVS,JUPITER,110.0
368,ROYAL ENFIELD,CLASSIC 350,350.0
371,HONDA,DIO,110.0
373,TVS,SCOOTY PEPPLUS,88.0
374,BAJAJ,PULSAR 150,150.0
375,TVS,APACHE RTR160,160.0
376,HERO,SPLENDOR PLUS,97.0
377,BAJAJ,PULSAR 220,220.0
380,TVS,JUPITER,110.0
384,HONDA,ACTIVA 125,125.0
387,TVS,JUPITER,110.0
390,BAJAJ,CT 100,102.0
392,HONDA,ACTIVA 125,125.0
393,HERO,SPLENDOR PLUS,97.0
395,SUZUKI,ACCESS 125,124.0
399,HONDA,AVIATOR,110.0
403,HERO,PASSION PRO,110.0
406,HONDA,ACTIVA,110.0
408,TVS,JUPITER,110.0
410,BAJAJ,CT 100,102.0
414,ROYAL ENFIELD,CLASSIC 350,350.0
416,TVS,JUPITER,110.0
418,HONDA,SHINE,125.0
421,HERO,SPLENDOR PLUS,97.0
422,BAJAJ,PULSAR 150,150.0
423,HONDA,ACTIVA 125,125.0
424,HERO,PASSION PRO,110.0
427,SUZUKI,ACCESS 125,124.0
436,HONDA,SHINE,125.0
438,HONDA,DIO,110.0
442,TVS,JUPITER,110.0
443,TVS,SCOOTY PEPPLUS,88.0
445,BAJAJ,PULSAR 150,150.0
446,HONDA,ACTIVA 125,125.0
451,SUZUKI,ACCESS 125,124.0
454,TVS,SPORT,110.0
455,TVS,JUPITER ZX,110.0
456,HONDA,ACTIVA 125,125.0
459,SUZUKI,ACCESS 125,124.0
461,HERO,HF DELUXE,97.0
466,TVS,APACHE RTR160,160.0
467,HONDA,ACTIVA 125,125.0
468,SUZUKI,ACCESS 125,124.0
469,SUZUKI,ACCESS 125,124.0
470,HERO,PASSION PRO,110.0
472,ROYAL ENFIELD,CLASSIC 350,350.0
473,TVS,SCOOTY PEPPLUS,88.0
475,TVS,JUPITER,110.0
476,TVS,JUPITER,110.0
477,TVS,JUPITER,110.0
482,BAJAJ,PULSAR 220,220.0
485,YAMAHA,FASCINO,113.0
486,YAMAHA,FZS,149.0
492,HERO,SPLENDOR PLUS,97.0
493,HONDA,ACTIVA 125,125.0
495,BAJAJ,PULSAR 150,150.0
496,BAJAJ,CT 100,102.0
498,SUZUKI,ACCESS 125,124.0
